GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-service,com.app.employee.api,EmployeeServiceApplication,5,3,0,0,2,1,1,1,1,1
employee-service,com.app.employee.api.controller,EmployeeController,0,88,0,6,0,18,0,11,0,8
employee-service,com.app.employee.api.service,EmployeeService,0,48,0,2,0,10,0,9,0,8
employee-service,com.app.employee.api.beans,Employee,222,209,53,21,0,13,48,14,11,14
employee-service,com.app.employee.api.exception,CustomResponseEntityExceptionHandler,81,0,0,0,19,0,4,0,4,0
employee-service,com.app.employee.api.exception,EmployeeNotFoundException,9,6,0,0,4,3,2,1,2,1
employee-service,com.app.employee.api.exception,ExceptionResponse,167,0,30,0,6,0,27,0,12,0
